,age,age,age,pretestScore,pretestScore,pretestScore,posttestScore,posttestScore,posttestScore,learning_gain,learning_gain,learning_gain,codeTotal,codeTotal,codeTotal,followUpCodeTotal,followUpCodeTotal,followUpCodeTotal,retention_change,retention_change,retention_change,followUpCodeA1,followUpCodeA1,followUpCodeA1,followUpCodeA2,followUpCodeA2,followUpCodeA2,followUpCodeA3,followUpCodeA3,followUpCodeA3,followUpCodeB1,followUpCodeB1,followUpCodeB1,perceivedLearning1,perceivedLearning1,perceivedLearning1,easeOfConversating1,easeOfConversating1,easeOfConversating1,adaptingToNeeds1,adaptingToNeeds1,adaptingToNeeds1,mentalEffort,mentalEffort,mentalEffort,evt_mean,evt_mean,evt_mean,chat_duration_min,chat_duration_min,chat_duration_min,freeTextWordCount,freeTextWordCount,freeTextWordCount,confidence,confidence,confidence
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control,30.389,13.485,36,2.333,1.095,36,3.278,0.974,36,0.944,1.068,36,3.778,1.775,36,4.261,2.05,23,0.174,2.188,23,1.391,0.583,23,1.13,0.815,23,0.696,0.703,23,1.13,0.869,23,2.917,1.645,36,4.278,1.523,36,3.444,1.611,36,4.333,1.512,36,3.157,0.674,36,4.778,1.889,36,307.75,70.211,36,4.444,0.607,36
intervention,28.0,9.601,44,2.545,0.901,44,3.136,0.979,44,0.591,1.041,44,4.705,1.579,44,5.36,1.63,25,0.36,1.604,25,1.4,0.645,25,1.44,0.821,25,1.0,0.764,25,1.52,0.823,25,3.386,1.674,44,4.091,1.696,44,3.545,1.577,44,5.25,1.7,44,3.076,0.662,44,7.113,5.259,44,320.591,108.14,44,4.159,0.987,44
